Equipamento;Hora;Latitude;Longitude;Velocidade
7041;1900-01-01 08:20:31;-19.685675939;-50.458323161;1.6
7041;1900-01-01 08:21:20;-19.685739517;-50.458297729;5.3
7041;1900-01-01 08:22:05;-19.685771306;-50.458374023;2.1
7041;1900-01-01 08:22:09;-19.685761770;-50.458374023;1.9
7041;1900-01-01 08:22:16;-19.685739517;-50.458380381;1.5
7041;1900-01-01 08:22:19;-19.685726802;-50.458393097;1.2
7041;1900-01-01 08:22:31;-19.685688655;-50.458399455;1.5
7041;1900-01-01 09:35:14;-19.685675939;-50.458431244;3.2
7041;1900-01-01 09:35:19;-19.685710907;-50.458424886;2.5
7041;1900-01-01 09:36:18;-19.685710907;-50.458265940;1.2
7041;1900-01-01 09:36:30;-19.685710907;-50.458265940;1.0
7041;1900-01-01 09:36:58;-19.685695012;-50.458285014;1.3
7041;1900-01-01 09:42:28;-19.685602824;-50.458291372;0.0
7041;1900-01-01 09:42:31;-19.685596466;-50.458297729;1.1
7041;1900-01-01 09:43:31;-19.685071945;-50.458494822;4.4
7041;1900-01-01 09:44:31;-19.684477488;-50.458723704;3.9
7041;1900-01-01 09:45:31;-19.683895747;-50.458946228;4.0
7041;1900-01-01 09:46:31;-19.683307648;-50.459162394;4.1
7041;1900-01-01 09:47:31;-19.682713191;-50.459384918;4.4
7041;1900-01-01 09:48:31;-19.682112376;-50.459601084;3.8
7041;1900-01-01 09:49:25;-19.681705475;-50.459766388;0.0
7041;1900-01-01 09:49:33;-19.681692759;-50.459766388;2.8
7041;1900-01-01 09:50:15;-19.681692759;-50.460084279;2.6
7041;1900-01-01 09:51:15;-19.682319005;-50.459874471;4.3
7041;1900-01-01 09:53:15;-19.683549245;-50.459423065;4.6
7041;1900-01-01 09:55:15;-19.684795380;-50.458958944;4.2
7041;1900-01-01 09:56:15;-19.685405731;-50.458742778;4.8
7041;1900-01-01 09:57:07;-19.685799917;-50.458513896;4.3
7041;1900-01-01 09:57:38;-19.685710907;-50.458265940;4.0
7041;1900-01-01 09:58:38;-19.685125987;-50.458463033;4.2
7041;1900-01-01 09:59:38;-19.684490204;-50.458698273;4.5
7041;1900-01-01 10:00:38;-19.683886210;-50.458927155;4.4
7041;1900-01-01 10:01:38;-19.683231354;-50.459162394;4.6
7041;1900-01-01 10:02:38;-19.682636897;-50.459384918;4.5
7041;1900-01-01 10:03:38;-19.682007472;-50.459620158;4.6
7041;1900-01-01 10:04:23;-19.681683222;-50.459740957;2.8
7041;1900-01-01 10:05:01;-19.681676865;-50.460096995;1.3
7041;1900-01-01 10:06:01;-19.682239532;-50.459918976;4.3
7041;1900-01-01 10:07:01;-19.682919820;-50.459677378;4.2
7041;1900-01-01 10:08:01;-19.683571498;-50.459429423;5.2
7041;1900-01-01 10:09:01;-19.684242249;-50.459181468;4.6
7041;1900-01-01 10:10:01;-19.684862137;-50.458946228;4.8
7041;1900-01-01 10:11:01;-19.685558319;-50.458691915;5.3
7041;1900-01-01 10:11:31;-19.685755412;-50.458628337;0.0
7041;1900-01-01 10:12:32;-19.685701370;-50.458253225;1.9
7041;1900-01-01 10:13:52;-19.685675939;-50.458246867;0.0
7041;1900-01-01 10:21:52;-19.685672760;-50.458246867;0.0
7041;1900-01-01 10:23:52;-19.685688655;-50.458253225;0.0
7041;1900-01-01 10:24:13;-19.685688655;-50.458253225;1.5
7041;1900-01-01 10:25:13;-19.685138702;-50.458450317;4.0
7041;1900-01-01 10:26:13;-19.684518814;-50.458672841;4.3
7041;1900-01-01 10:27:13;-19.683886210;-50.458920797;4.2
7041;1900-01-01 10:28:13;-19.683256785;-50.459156036;4.6
7041;1900-01-01 10:29:13;-19.682646434;-50.459384918;4.1
7041;1900-01-01 10:30:13;-19.682026545;-50.459620158;4.0
7041;1900-01-01 10:31:02;-19.681664149;-50.459887187;6.8
7041;1900-01-01 10:31:25;-19.681708654;-50.460116069;1.8
7041;1900-01-01 10:32:25;-19.682204564;-50.459944407;4.6
7041;1900-01-01 10:33:25;-19.682811737;-50.459715525;4.0
7041;1900-01-01 10:34:25;-19.683431625;-50.459486643;4.8
7041;1900-01-01 10:35:25;-19.684070587;-50.459251404;4.7
7041;1900-01-01 10:36:25;-19.684680939;-50.459016164;3.4
7041;1900-01-01 10:37:25;-19.685310364;-50.458787282;4.7
7041;1900-01-01 10:38:18;-19.685771306;-50.458609263;0.0
7041;1900-01-01 10:38:26;-19.685806274;-50.458558400;4.3
7041;1900-01-01 10:39:12;-19.685666402;-50.458246867;7.2
7041;1900-01-01 10:41:12;-19.684331258;-50.458742778;5.3
7041;1900-01-01 10:42:12;-19.683603287;-50.459016164;4.6
7041;1900-01-01 10:43:12;-19.682868958;-50.459295909;5.2
7041;1900-01-01 10:44:12;-19.682156881;-50.459556580;5.4
7041;1900-01-01 10:44:53;-19.681689580;-50.459721883;0.9
7041;1900-01-01 10:45:40;-19.681692759;-50.460141500;3.0
7041;1900-01-01 10:46:40;-19.682312648;-50.459918976;5.0
7041;1900-01-01 10:47:40;-19.683059692;-50.459632874;6.2
7041;1900-01-01 10:48:40;-19.683800379;-50.459365845;5.4
7041;1900-01-01 10:49:40;-19.684528351;-50.459098816;5.1
7041;1900-01-01 10:50:40;-19.685243607;-50.458819071;5.9
7041;1900-01-01 10:52:14;-19.685726802;-50.458202362;2.2
7041;1900-01-01 10:53:17;-19.685167313;-50.458399455;4.6
7041;1900-01-01 10:54:17;-19.684496562;-50.458653768;5.0
7041;1900-01-01 10:55:17;-19.683832169;-50.458895365;5.2
7041;1900-01-01 10:56:17;-19.683155060;-50.459136963;4.8
7041;1900-01-01 10:57:17;-19.682497025;-50.459397634;4.6
7041;1900-01-01 10:58:17;-19.681816737;-50.459645589;4.9
7041;1900-01-01 10:58:40;-19.681695938;-50.459702810;3.3
7041;1900-01-01 10:58:45;-19.681676865;-50.459760030;5.8
7041;1900-01-01 10:59:17;-19.681689580;-50.460147858;2.9
7041;1900-01-01 11:00:17;-19.682255427;-50.459944407;4.8
7041;1900-01-01 11:01:17;-19.682894389;-50.459709167;4.7
7041;1900-01-01 11:02:17;-19.683561961;-50.459454854;4.7
7041;1900-01-01 11:03:17;-19.684219996;-50.459206899;4.7
7041;1900-01-01 11:04:17;-19.684884389;-50.458958944;4.6
7041;1900-01-01 11:05:17;-19.685545603;-50.458717346;4.4
7041;1900-01-01 11:05:48;-19.685774485;-50.458628337;2.3
7041;1900-01-01 11:06:26;-19.685729980;-50.458189646;2.3
7041;1900-01-01 11:08:26;-19.684563319;-50.458615621;4.7
7041;1900-01-01 11:09:26;-19.683889389;-50.458863576;4.1
7041;1900-01-01 11:10:26;-19.683205922;-50.459105174;3.7
7041;1900-01-01 11:11:26;-19.682557424;-50.459353129;4.4
7041;1900-01-01 11:12:26;-19.681896210;-50.459594727;4.7
7041;1900-01-01 11:13:00;-19.681692759;-50.459677378;0.0
7041;1900-01-01 11:13:27;-19.681689580;-50.459683736;1.5
7041;1900-01-01 11:14:27;-19.681702296;-50.460166931;2.1
7041;1900-01-01 11:14:29;-19.681711833;-50.460166931;3.0
7041;1900-01-01 11:15:29;-19.682306290;-50.459944407;5.6
7041;1900-01-01 11:16:29;-19.682983398;-50.459690094;5.0
7041;1900-01-01 11:17:28;-19.683482488;-50.459505717;0.0
7041;1900-01-01 11:18:28;-19.683488846;-50.459499359;0.0
7041;1900-01-01 11:19:06;-19.683501561;-50.459486643;0.0
7041;1900-01-01 11:19:16;-19.683504740;-50.459486643;2.0
