Equipamento;Hora;Latitude;Longitude;Velocidade;RTK
7042.0;00:00:51;-19.759353638;-50.469760895;0.0;Não
7042.0;00:00:55;-19.759356817;-50.469760895;0.0;Não
7042.0;00:05:55;-19.759350459;-50.469748179;0.0;Não
7042.0;00:10:55;-19.759350459;-50.469760895;0.0;Não
7042.0;00:15:55;-19.759363174;-50.469748179;0.0;Não
7042.0;00:20:55;-19.759366353;-50.469760895;0.0;Não
7042.0;00:25:55;-19.759353638;-50.469773610;0.0;Não
7042.0;00:30:55;-19.759350459;-50.469767253;0.0;Não
7042.0;00:35:55;-19.759344101;-50.469760895;0.0;Não
7042.0;00:40:55;-19.759359996;-50.469767253;0.0;Não
7042.0;00:45:55;-19.759353638;-50.469760895;0.0;Não
7042.0;00:48:51;-19.759751002;-50.469977061;6.0;Sim
7042.0;00:49:52;-19.760548910;-50.470441182;5.8;Sim
7042.0;00:50:44;-19.761162440;-50.470790863;0.0;Não
7042.0;00:51:36;-19.761372248;-50.470403035;1.2;Sim
7042.0;00:51:42;-19.761340459;-50.470377604;2.9;Sim
7042.0;00:52:24;-19.760873159;-50.470116933;5.1;Sim
7042.0;00:52:43;-19.760615667;-50.469964345;5.8;Sim
7042.0;00:53:04;-19.760329564;-50.469792684;6.4;Sim
7042.0;00:53:51;-19.759716034;-50.469443003;5.8;Sim
7042.0;00:54:35;-19.759121577;-50.469093323;5.9;Sim
7042.0;00:55:36;-19.758349101;-50.468654633;6.0;Sim
7042.0;00:56:36;-19.757579803;-50.468196869;5.7;Sim
7042.0;00:57:37;-19.756775538;-50.467739105;5.3;Sim
7042.0;00:58:26;-19.756133397;-50.467376709;6.2;Sim
7042.0;00:58:33;-19.756041209;-50.467319489;6.5;Sim
7042.0;00:59:05;-19.755701065;-50.467128754;0.0;Não
7042.0;00:59:52;-19.755634308;-50.467624664;1.6;Sim
7042.0;01:00:00;-19.755685170;-50.467656453;4.2;Sim
7042.0;01:01:06;-19.756470362;-50.468107859;5.9;Sim
7042.0;01:01:13;-19.756562551;-50.468158722;5.9;Sim
7042.0;01:02:12;-19.757354101;-50.468622843;7.0;Sim
7042.0;01:03:11;-19.758142471;-50.469074249;6.0;Sim
7042.0;01:04:12;-19.758962631;-50.469538371;5.9;Sim
7042.0;01:05:12;-19.759754181;-50.470002492;5.6;Sim
7042.0;01:05:39;-19.760100683;-50.470199585;5.6;Sim
7042.0;01:06:39;-19.760895411;-50.470670064;7.3;Sim
7042.0;01:07:01;-19.761149724;-50.470816294;0.0;Não
7042.0;01:07:55;-19.761349996;-50.470377604;3.2;Sim
7042.0;01:09:02;-19.760545731;-50.469894409;5.8;Sim
7042.0;01:09:18;-19.760329564;-50.469773610;6.3;Sim
7042.0;01:09:47;-19.759938558;-50.469557444;5.8;Sim
7042.0;01:10:48;-19.759140650;-50.469093323;4.8;Sim
7042.0;01:11:34;-19.758565267;-50.468756358;0.0;Não
7042.0;01:11:39;-19.758577983;-50.468743642;7.8;Não
7042.0;01:11:51;-19.758597056;-50.468769073;0.0;Não
7042.0;01:11:55;-19.758593877;-50.468769073;0.0;Não
7042.0;01:16:55;-19.758590698;-50.468756358;0.0;Não
7042.0;01:21:55;-19.758587519;-50.468781789;0.0;Não
7042.0;01:26:19;-19.758577983;-50.468756358;1.8;Sim
7042.0;01:26:25;-19.758536657;-50.468724569;5.5;Sim
7042.0;01:26:47;-19.758272807;-50.468571981;5.8;Sim
7042.0;01:27:50;-19.757474899;-50.468114217;5.6;Sim
7042.0;01:28:18;-19.757071177;-50.467885335;6.6;Sim
7042.0;01:29:00;-19.756454468;-50.467529297;7.0;Sim
7042.0;01:29:06;-19.756425858;-50.467529297;0.0;Não
7042.0;01:29:23;-19.756492615;-50.467548370;3.7;Sim
7042.0;01:30:38;-19.755720139;-50.467116038;0.0;Não
7042.0;01:30:47;-19.755736033;-50.467122396;3.0;Sim
7042.0;01:31:32;-19.755637487;-50.467643738;3.4;Sim
7042.0;01:31:37;-19.755678813;-50.467669169;3.6;Sim
7042.0;01:31:50;-19.755691528;-50.467675527;1.5;Sim
7042.0;01:32:02;-19.755815506;-50.467751821;6.1;Sim
7042.0;01:32:47;-19.756441752;-50.468114217;6.8;Sim
7042.0;01:33:21;-19.756947200;-50.468406677;7.0;Sim
7042.0;01:34:16;-19.757748286;-50.468864441;6.5;Sim
7042.0;01:34:48;-19.758231481;-50.469131470;6.6;Sim
7042.0;01:35:42;-19.759019852;-50.469595591;6.6;Sim
7042.0;01:36:22;-19.759598414;-50.469932556;6.9;Sim
7042.0;01:37:15;-19.760389964;-50.470383962;6.5;Sim
7042.0;01:38:11;-19.761143366;-50.470809937;0.0;Não
7042.0;01:39:01;-19.761384964;-50.470371246;1.0;Sim
7042.0;01:39:09;-19.761343638;-50.470345815;2.8;Sim
7042.0;01:40:01;-19.760711034;-50.469977061;6.9;Sim
7042.0;01:40:36;-19.760189692;-50.469678243;6.6;Sim
7042.0;01:41:29;-19.759391785;-50.469220479;6.1;Sim
7042.0;01:42:23;-19.758597056;-50.468769073;5.2;Sim
7042.0;01:42:30;-19.758492152;-50.468711853;6.8;Sim
7042.0;01:42:59;-19.758062998;-50.468457540;7.3;Sim
7042.0;01:43:51;-19.757268270;-50.467999776;6.8;Sim
7042.0;01:44:11;-19.756969452;-50.467821757;6.5;Sim
7042.0;01:44:50;-19.756464005;-50.467529297;1.7;Sim
7042.0;01:45:02;-19.756492615;-50.467529297;3.8;Sim
7042.0;01:46:27;-19.755707423;-50.467096965;0.0;Não
7042.0;01:47:16;-19.755647024;-50.467669169;2.9;Sim
7042.0;01:47:21;-19.755678813;-50.467681885;3.3;Sim
7042.0;01:47:30;-19.755678813;-50.467694600;0.0;Não
7042.0;01:48:09;-19.756168365;-50.467961629;6.9;Sim
7042.0;01:49:51;-19.757773717;-50.468889872;7.4;Sim
7042.0;01:49:55;-19.757834117;-50.468928019;6.9;Sim
7042.0;01:50:47;-19.758625666;-50.469379425;6.3;Sim
7042.0;01:50:53;-19.758714676;-50.469423930;7.0;Sim
7042.0;01:51:07;-19.758940379;-50.469563802;7.3;Sim
7042.0;01:51:45;-19.759372711;-50.469805400;0.0;Não
7042.0;01:51:50;-19.759372711;-50.469805400;0.0;Não
7042.0;01:52:04;-19.759382248;-50.469818115;1.7;Sim
7042.0;01:53:08;-19.760173798;-50.470282237;5.3;Sim
7042.0;01:53:14;-19.760253270;-50.470320384;6.5;Sim
7042.0;01:54:14;-19.761047999;-50.470784505;6.2;Sim
7042.0;01:54:37;-19.761197408;-50.470778147;3.8;Não
7042.0;01:55:24;-19.761375427;-50.470352173;1.2;Sim
7042.0;01:55:32;-19.761330922;-50.470320384;2.6;Sim
7042.0;01:55:43;-19.761254628;-50.470269521;3.1;Sim
7042.0;01:56:38;-19.760590235;-50.469888051;6.0;Sim
7042.0;01:57:40;-19.759789149;-50.469436646;5.7;Sim
7042.0;01:58:41;-19.758997599;-50.468972524;5.1;Sim
7042.0;01:59:52;-19.758196513;-50.468514760;5.4;Sim
7042.0;02:00:00;-19.758094788;-50.468457540;7.4;Sim
7042.0;02:00:59;-19.757293701;-50.467993418;6.0;Sim
7042.0;02:01:18;-19.757036209;-50.467840830;6.5;Sim
7042.0;02:01:44;-19.756696065;-50.467643738;6.5;Sim
7042.0;02:02:09;-19.756476720;-50.467522939;0.0;Não
7042.0;02:02:20;-19.756518046;-50.467529297;4.8;Sim
7042.0;02:02:35;-19.756444931;-50.467465719;1.1;Sim
7042.0;02:02:59;-19.756406784;-50.467433929;2.7;Sim
7042.0;02:03:15;-19.756432215;-50.467446645;3.0;Sim
7042.0;02:03:34;-19.756384532;-50.467446645;0.0;Não
7042.0;02:03:55;-19.756292343;-50.467408498;0.0;Não
7042.0;02:05:02;-19.755720139;-50.467071533;0.0;Não
7042.0;02:06:08;-19.755612055;-50.467669169;2.3;Sim
7042.0;02:06:13;-19.755653381;-50.467694600;3.5;Sim
7042.0;02:06:39;-19.755755107;-50.467751821;0.0;Não
7042.0;02:06:50;-19.755758286;-50.467751821;0.0;Não
7042.0;02:06:54;-19.755758286;-50.467751821;0.0;Não
7042.0;02:11:57;-19.755761464;-50.467758179;0.0;Não
7042.0;02:16:57;-19.755767822;-50.467751821;0.0;Não
7042.0;02:21:57;-19.755764643;-50.467758179;0.0;Não
7042.0;02:26:57;-19.755758286;-50.467732747;0.0;Não
7042.0;02:31:57;-19.755771001;-50.467732747;0.0;Não
7042.0;02:32:24;-19.755780538;-50.467751821;0.0;Não
7042.0;02:32:31;-19.755828222;-50.467770894;4.5;Sim
7042.0;02:33:07;-19.756289164;-50.468044281;6.5;Sim
7042.0;02:33:28;-19.756575267;-50.468215942;5.6;Sim
7042.0;02:34:28;-19.757366816;-50.468667348;5.9;Sim
7042.0;02:35:27;-19.758164724;-50.469125112;5.3;Sim
7042.0;02:36:27;-19.758953094;-50.469582876;5.5;Sim
7042.0;02:36:39;-19.759112040;-50.469671885;6.5;Sim
7042.0;02:37:39;-19.759897232;-50.470136007;5.8;Sim
7042.0;02:38:40;-19.760691961;-50.470587413;5.8;Sim
7042.0;02:39:18;-19.761146545;-50.470848083;0.0;Não
7042.0;02:40:28;-19.761375427;-50.470326742;3.8;Sim
7042.0;02:41:31;-19.760758718;-50.469964345;5.4;Sim
7042.0;02:43:30;-19.759159724;-50.469036102;6.2;Sim
7042.0;02:44:25;-19.758438110;-50.468641917;4.7;Sim
7042.0;02:44:38;-19.758266449;-50.468527476;6.1;Sim
7042.0;02:45:08;-19.757869085;-50.468304952;5.4;Sim
7042.0;02:46:08;-19.757074356;-50.467840830;6.1;Sim
7042.0;02:47:02;-19.756486257;-50.467503866;0.0;Não
7042.0;02:47:16;-19.756556193;-50.467529297;4.4;Sim
7042.0;02:47:39;-19.756451289;-50.467433929;0.0;Não
7042.0;02:50:13;-19.755637487;-50.467694600;3.4;Sim
7042.0;02:50:17;-19.755672455;-50.467707316;4.7;Sim
7042.0;02:50:59;-19.756114324;-50.467967987;6.7;Sim
7042.0;02:51:59;-19.756921768;-50.468432109;6.7;Sim
7042.0;02:53:24;-19.758075714;-50.469099681;6.4;Sim
7042.0;02:53:50;-19.758409500;-50.469284058;5.5;Sim
7042.0;02:54:02;-19.758571625;-50.469379425;6.0;Sim
7042.0;02:55:02;-19.759375890;-50.469843547;5.9;Sim
7042.0;02:56:03;-19.760176977;-50.470301310;6.8;Sim
7042.0;02:57:18;-19.761044820;-50.470803579;0.0;Não
7042.0;02:57:22;-19.761044820;-50.470803579;0.0;Não
7042.0;02:57:33;-19.761063894;-50.470809937;1.7;Sim
7042.0;02:57:50;-19.761178335;-50.470816294;3.8;Não
7042.0;02:58:49;-19.761372248;-50.470301310;2.2;Sim
7042.0;02:59:58;-19.760583878;-50.469849904;6.3;Sim
7042.0;03:00:09;-19.760431290;-50.469760895;6.0;Sim
7042.0;03:00:36;-19.760052999;-50.469544729;5.9;Sim
7042.0;03:01:37;-19.759223302;-50.469067891;6.4;Sim
7042.0;03:02:30;-19.758511225;-50.468654633;6.2;Sim
7042.0;03:03:02;-19.758082072;-50.468406677;6.0;Sim
7042.0;03:04:01;-19.757280986;-50.467942556;6.3;Sim
7042.0;03:05:07;-19.756505330;-50.467503866;1.4;Sim
7042.0;03:05:20;-19.756508509;-50.467491150;4.1;Sim
7042.0;03:06:55;-19.755726496;-50.467046102;1.7;Não
7042.0;03:08:03;-19.755602519;-50.467694600;0.0;Não
7042.0;03:08:07;-19.755624771;-50.467700958;2.9;Sim
7042.0;03:09:03;-19.756196976;-50.468025208;5.3;Sim
7042.0;03:10:39;-19.757315954;-50.468673706;5.2;Sim
7042.0;03:11:41;-19.758113861;-50.469125112;6.1;Sim
7042.0;03:12:40;-19.758902232;-50.469589233;5.5;Sim
7042.0;03:13:40;-19.759690603;-50.470046997;6.0;Sim
7042.0;03:14:40;-19.760482152;-50.470504761;6.4;Sim
7042.0;03:15:32;-19.761121114;-50.470873515;0.0;Não
7042.0;03:16:42;-19.761378606;-50.470294952;1.4;Sim
7042.0;03:17:53;-19.760587056;-50.469824473;7.1;Sim
7042.0;03:18:31;-19.760021210;-50.469500224;7.2;Sim
7042.0;03:19:25;-19.759216944;-50.469036102;6.5;Sim
7042.0;03:20:23;-19.758380890;-50.468546549;6.4;Sim
7042.0;03:20:43;-19.758088430;-50.468374888;6.6;Sim
7042.0;03:21:06;-19.757741928;-50.468177795;7.3;Sim
7042.0;03:22:05;-19.757004420;-50.467751821;0.0;Não
7042.0;03:22:17;-19.757020315;-50.467764537;0.0;Não
7042.0;03:22:22;-19.757020315;-50.467764537;0.0;Não
7042.0;03:25:00;-19.757010778;-50.467764537;1.3;Sim
7042.0;03:25:39;-19.756572088;-50.467497508;5.9;Sim
7042.0;03:26:01;-19.756346385;-50.467376709;5.1;Sim
7042.0;03:26:53;-19.755736033;-50.467027028;0.0;Não
7042.0;03:27:53;-19.755592982;-50.467700958;2.6;Sim
7042.0;03:28:00;-19.755640666;-50.467726390;2.9;Sim
7042.0;03:29:03;-19.756359100;-50.468146006;5.5;Sim
7042.0;03:29:42;-19.756877263;-50.468438466;6.2;Sim
7042.0;03:30:42;-19.757668813;-50.468896230;5.7;Sim
7042.0;03:31:43;-19.758466721;-50.469360352;5.7;Sim
7042.0;03:32:44;-19.759255091;-50.469818115;6.1;Sim
7042.0;03:33:46;-19.760052999;-50.470269521;5.4;Sim
7042.0;03:34:46;-19.760850906;-50.470733643;6.8;Sim
7042.0;03:35:09;-19.761117935;-50.470879873;0.0;Não
7042.0;03:36:17;-19.761400859;-50.470294952;2.2;Sim
7042.0;03:36:25;-19.761369069;-50.470269521;2.3;Sim
7042.0;03:37:34;-19.760574341;-50.469805400;6.1;Sim
7042.0;03:37:47;-19.760389964;-50.469703674;6.6;Sim
7042.0;03:38:47;-19.759595235;-50.469245911;5.8;Sim
7042.0;03:39:49;-19.758794149;-50.468781789;5.5;Sim
7042.0;03:40:44;-19.758129756;-50.468400319;0.0;Não
7042.0;03:40:52;-19.758132935;-50.468400319;0.0;Não
7042.0;03:41:03;-19.758132935;-50.468400319;0.0;Não
7042.0;03:46:08;-19.758142471;-50.468400319;0.0;Não
7042.0;03:51:08;-19.758132935;-50.468393962;0.0;Não
7042.0;03:54:48;-19.758117040;-50.468400319;1.1;Sim
7042.0;03:55:57;-19.757322311;-50.467936198;5.9;Sim
7042.0;03:56:04;-19.757230123;-50.467878977;6.3;Sim
7042.0;03:56:54;-19.756568909;-50.467497508;5.7;Sim
