Equipamento;Hora;Latitude;Longitude;Velocidade
7041;1900-01-01 00:00:00;-19.660238266;-50.419832865;5.3
7041;1900-01-01 00:00:05;-19.660260518;-50.419813792;0.0
7041;1900-01-01 00:00:12;-19.660216014;-50.419839223;2.7
7041;1900-01-01 00:00:29;-19.660311381;-50.419756571;3.9
7041;1900-01-01 00:00:36;-19.660270055;-50.419782003;4.9
7041;1900-01-01 00:01:26;-19.660680135;-50.419425964;0.0
7041;1900-01-01 00:07:05;-19.660823186;-50.419807434;0.0
7041;1900-01-01 00:08:05;-19.660820007;-50.419826508;0.0
7041;1900-01-01 00:11:18;-19.660308202;-50.420271556;4.5
7041;1900-01-01 00:12:18;-19.659605662;-50.420653025;5.3
7041;1900-01-01 00:13:18;-19.658830007;-50.420913696;6.0
7041;1900-01-01 00:17:11;-19.656582514;-50.420843760;7.7
7041;1900-01-01 00:17:39;-19.656754176;-50.420570374;3.9
7041;1900-01-01 00:17:52;-19.656785965;-50.420557658;1.8
7041;1900-01-01 00:18:52;-19.657475789;-50.420614878;6.1
7041;1900-01-01 00:19:29;-19.658003489;-50.420608521;5.6
7041;1900-01-01 00:20:29;-19.658842723;-50.420494080;5.9
7041;1900-01-01 00:22:29;-19.660352707;-50.419750214;5.4
7041;1900-01-01 00:22:45;-19.660524368;-50.419597626;5.3
7041;1900-01-01 00:23:05;-19.660699209;-50.419425964;2.6
7041;1900-01-01 00:26:31;-19.659793218;-50.420551300;5.7
7041;1900-01-01 00:27:31;-19.659017563;-50.420850118;4.9
7041;1900-01-01 00:28:31;-19.658203761;-50.420996348;6.3
7041;1900-01-01 00:29:31;-19.657345454;-50.420996348;6.2
7041;1900-01-01 00:31:32;-19.656649272;-50.420939128;0.0
7041;1900-01-01 00:32:11;-19.656696955;-50.420754751;2.7
7041;1900-01-01 00:32:23;-19.656747818;-50.420653025;4.2
7041;1900-01-01 00:32:43;-19.656779607;-50.420564016;1.1
7041;1900-01-01 00:32:59;-19.656903585;-50.420583089;2.4
7041;1900-01-01 00:33:09;-19.656884511;-50.420583089;0.0
7041;1900-01-01 00:33:13;-19.656881332;-50.420583089;0.0
7041;1900-01-01 00:37:16;-19.656881332;-50.420595805;0.0
7041;1900-01-01 00:38:05;-19.656887690;-50.420589447;2.7
7041;1900-01-01 00:39:05;-19.657701492;-50.420646667;5.3
7041;1900-01-01 00:40:05;-19.658572515;-50.420564016;6.7
7041;1900-01-01 00:41:05;-19.659456253;-50.420309703;7.2
7041;1900-01-01 00:42:28;-19.660549800;-50.419597626;7.2
7041;1900-01-01 00:42:49;-19.660715103;-50.419432322;0.0
7041;1900-01-01 00:44:33;-19.660880407;-50.419521332;0.0
7041;1900-01-01 00:44:40;-19.660870870;-50.419578552;5.9
7041;1900-01-01 00:45:40;-19.660629272;-50.420004527;4.8
7041;1900-01-01 00:46:40;-19.659945806;-50.420468648;6.1
7041;1900-01-01 00:47:40;-19.659125646;-50.420792898;6.2
7041;1900-01-01 00:48:40;-19.658264160;-50.420977275;5.5
7041;1900-01-01 00:49:40;-19.657361348;-50.420970917;6.7
7041;1900-01-01 00:50:37;-19.656614304;-50.420913696;0.0
7041;1900-01-01 00:52:25;-19.656792323;-50.420551300;2.4
7041;1900-01-01 00:52:40;-19.656922658;-50.420583089;0.0
7041;1900-01-01 00:52:43;-19.656929016;-50.420583089;1.6
7041;1900-01-01 00:53:43;-19.657711029;-50.420627594;5.8
7041;1900-01-01 00:54:43;-19.658607483;-50.420564016;5.2
7041;1900-01-01 00:54:44;-19.658617020;-50.420564016;4.7
7041;1900-01-01 00:55:44;-19.659516652;-50.420296987;8.2
7041;1900-01-01 00:56:44;-19.660346349;-50.419794718;6.4
