Equipamento;Hora;Latitude;Longitude;Velocidade
7032;1900-01-01 00:00:32;-18.896959305;-49.481484731;5.7
7032;1900-01-01 00:01:39;-18.896072388;-49.481274923;4.5
7032;1900-01-01 00:02:42;-18.895188649;-49.481065114;5.2
7032;1900-01-01 00:03:49;-18.894257228;-49.480848948;5.7
7032;1900-01-01 00:04:51;-18.893360774;-49.480664571;5.9
7032;1900-01-01 00:05:54;-18.892426173;-49.480422974;1.6
7032;1900-01-01 00:06:15;-18.892403920;-49.480397542;0.0
7032;1900-01-01 00:06:36;-18.892384847;-49.480429331;0.0
7032;1900-01-01 00:06:44;-18.892375310;-49.480429331;0.0
7032;1900-01-01 00:07:29;-18.892388026;-49.480410258;2.3
7032;1900-01-01 00:07:52;-18.892286301;-49.480378469;3.1
7032;1900-01-01 00:07:53;-18.892289480;-49.480384827;1.0
7032;1900-01-01 00:07:54;-18.892292658;-49.480384827;0.0
7032;1900-01-01 00:07:55;-18.892286301;-49.480378469;3.0
7032;1900-01-01 00:08:46;-18.892098745;-49.480321248;1.5
7032;1900-01-01 00:08:58;-18.892105103;-49.480346680;4.9
7032;1900-01-01 00:10:03;-18.892664591;-49.480569204;8.6
7032;1900-01-01 00:10:27;-18.892829895;-49.480511983;2.8
7032;1900-01-01 00:10:40;-18.892756780;-49.480442047;0.0
7032;1900-01-01 00:10:51;-18.892737707;-49.480454763;0.0
7032;1900-01-01 00:15:51;-18.892744064;-49.480511983;0.0
7032;1900-01-01 00:16:12;-18.892693202;-49.480499268;2.1
7032;1900-01-01 00:16:13;-18.892690023;-49.480499268;0.0
7032;1900-01-01 00:16:17;-18.892712275;-49.480492910;5.0
7032;1900-01-01 00:17:26;-18.893576940;-49.480721792;6.6
7032;1900-01-01 00:18:25;-18.894482931;-49.480893453;5.9
7032;1900-01-01 00:19:29;-18.895347595;-49.481122335;5.8
7032;1900-01-01 00:20:45;-18.896237691;-49.481325785;5.4
7032;1900-01-01 00:21:52;-18.897146861;-49.481516520;5.3
7032;1900-01-01 00:22:59;-18.898027420;-49.481713613;4.5
7032;1900-01-01 00:24:08;-18.898901622;-49.481923421;5.6
7032;1900-01-01 00:25:15;-18.899794896;-49.482139587;5.9
7032;1900-01-01 00:26:23;-18.900694529;-49.482330322;6.5
7032;1900-01-01 00:26:52;-18.900929769;-49.482387543;0.0
7032;1900-01-01 00:26:53;-18.900929769;-49.482387543;0.0
7032;1900-01-01 00:27:48;-18.900932948;-49.482381185;1.2
7032;1900-01-01 00:28:46;-18.901441574;-49.482501984;1.4
7032;1900-01-01 00:29:18;-18.901451111;-49.482495626;2.4
7032;1900-01-01 00:29:45;-18.901365280;-49.482476552;0.0
7032;1900-01-01 00:30:02;-18.901349386;-49.482476552;1.5
7032;1900-01-01 00:32:13;-18.899610519;-49.482056936;4.8
7032;1900-01-01 00:33:22;-18.898717244;-49.481853485;4.6
7032;1900-01-01 00:34:32;-18.897804896;-49.481650035;5.1
7032;1900-01-01 00:35:41;-18.896921158;-49.481452942;5.1
7032;1900-01-01 00:36:56;-18.896021525;-49.481249491;4.1
7032;1900-01-01 00:38:07;-18.895099640;-49.481046041;5.0
7032;1900-01-01 00:39:24;-18.894200007;-49.480817159;4.5
7032;1900-01-01 00:39:57;-18.893901189;-49.480753581;0.0
7032;1900-01-01 00:40:02;-18.893936157;-49.480759939;3.3
7032;1900-01-01 00:40:03;-18.893942515;-49.480772654;2.7
7032;1900-01-01 00:40:10;-18.893942515;-49.480772654;0.0
7032;1900-01-01 00:40:25;-18.893929799;-49.480772654;0.0
7032;1900-01-01 00:43:25;-18.893942515;-49.480772654;3.5
7032;1900-01-01 00:44:57;-18.893055598;-49.480556488;5.2
7032;1900-01-01 00:46:14;-18.892171860;-49.480365753;2.4
7032;1900-01-01 00:46:24;-18.892140071;-49.480340322;1.2
7032;1900-01-01 00:46:53;-18.892143250;-49.480314891;2.8
7032;1900-01-01 00:48:20;-18.893026988;-49.480531057;5.2
7032;1900-01-01 00:50:34;-18.894816717;-49.480950673;5.5
7032;1900-01-01 00:51:41;-18.895703634;-49.481141408;5.1
7032;1900-01-01 00:52:25;-18.896040599;-49.481224060;2.3
7032;1900-01-01 00:52:26;-18.896037420;-49.481217702;2.3
7032;1900-01-01 00:52:28;-18.896021525;-49.481217702;3.3
7032;1900-01-01 00:52:38;-18.895999273;-49.481217702;0.0
7032;1900-01-01 00:52:45;-18.896005630;-49.481217702;0.0
7032;1900-01-01 00:54:18;-18.896126429;-49.481255849;1.2
7032;1900-01-01 00:54:47;-18.896218618;-49.481281281;2.2
7032;1900-01-01 00:54:48;-18.896212260;-49.481281281;2.0
7032;1900-01-01 00:54:49;-18.896212260;-49.481274923;0.0
7032;1900-01-01 00:54:51;-18.896218618;-49.481281281;1.4
7032;1900-01-01 00:55:07;-18.896247228;-49.481287638;0.0
7032;1900-01-01 00:55:38;-18.896253586;-49.481287638;1.4
7032;1900-01-01 00:56:25;-18.896698634;-49.481300354;10.6
7032;1900-01-01 00:57:32;-18.897547404;-49.481592814;5.1
7032;1900-01-01 00:58:40;-18.898482005;-49.481802622;5.6
7032;1900-01-01 00:59:47;-18.899378459;-49.482025146;5.0
7032;1900-01-01 01:02:06;-18.901215871;-49.482444763;5.8
7032;1900-01-01 01:02:36;-18.901438395;-49.482489268;2.7
7032;1900-01-01 01:03:04;-18.901441574;-49.482470194;4.4
7032;1900-01-01 01:03:27;-18.901327133;-49.482438405;0.0
7032;1900-01-01 01:03:37;-18.901320775;-49.482438405;1.6
7032;1900-01-01 01:03:49;-18.901311239;-49.482438405;0.0
7032;1900-01-01 01:03:55;-18.901308060;-49.482438405;1.6
7032;1900-01-01 01:05:07;-18.900440216;-49.482209524;5.6
7032;1900-01-01 01:06:22;-18.899543762;-49.482006073;4.7
7032;1900-01-01 01:07:35;-18.898644129;-49.481802622;5.6
7032;1900-01-01 01:08:25;-18.898246765;-49.481719971;3.2
7032;1900-01-01 01:08:57;-18.898275375;-49.481713613;0.0
7032;1900-01-01 01:09:05;-18.898275375;-49.481707255;0.0
7032;1900-01-01 01:11:22;-18.898249944;-49.481688182;1.6
7032;1900-01-01 01:12:59;-18.897359848;-49.481503805;4.5
7032;1900-01-01 01:14:19;-18.896460215;-49.481287638;5.2
7032;1900-01-01 01:15:46;-18.895586014;-49.481084188;5.0
7032;1900-01-01 01:16:58;-18.894708633;-49.480899811;5.3
7032;1900-01-01 01:18:11;-18.893818537;-49.480696360;5.1
7032;1900-01-01 01:19:22;-18.892928441;-49.480473836;5.3
7032;1900-01-01 01:20:22;-18.892302195;-49.480321248;1.9
7032;1900-01-01 01:20:25;-18.892327627;-49.480321248;2.8
7032;1900-01-01 01:20:26;-18.892337163;-49.480321248;3.8
7032;1900-01-01 01:20:30;-18.892343521;-49.480327606;2.5
7032;1900-01-01 01:20:58;-18.892190933;-49.480270386;2.2
7032;1900-01-01 01:21:19;-18.892295837;-49.480314891;4.4
7032;1900-01-01 01:22:53;-18.893192291;-49.480499268;5.1
7032;1900-01-01 01:24:06;-18.894056956;-49.480702718;5.3
7032;1900-01-01 01:24:19;-18.894126892;-49.480715434;1.4
7032;1900-01-01 01:24:23;-18.894082387;-49.480702718;4.1
7032;1900-01-01 01:24:24;-18.894072851;-49.480702718;4.3
7032;1900-01-01 01:24:27;-18.894063314;-49.480702718;1.4
7032;1900-01-01 01:25:40;-18.894689560;-49.480842590;2.6
7032;1900-01-01 01:25:42;-18.894664129;-49.480842590;4.2
7032;1900-01-01 01:25:44;-18.894641876;-49.480842590;4.6
7032;1900-01-01 01:26:22;-18.894657771;-49.480861664;2.6
7032;1900-01-01 01:26:40;-18.894711812;-49.480868022;0.0
7032;1900-01-01 01:26:41;-18.894711812;-49.480861664;0.0
7032;1900-01-01 01:27:03;-18.894711812;-49.480848948;0.0
7032;1900-01-01 01:29:41;-18.894727707;-49.480848948;1.4
7032;1900-01-01 01:29:55;-18.894734065;-49.480848948;0.0
7032;1900-01-01 01:30:00;-18.894734065;-49.480848948;1.7
7032;1900-01-01 01:31:16;-18.895608266;-49.481077830;5.0
7032;1900-01-01 01:32:34;-18.896504720;-49.481281281;4.5
7032;1900-01-01 01:33:47;-18.897391637;-49.481478373;4.9
7032;1900-01-01 01:35:00;-18.898297628;-49.481681824;5.1
7032;1900-01-01 01:36:14;-18.899194082;-49.481897990;5.7
7032;1900-01-01 01:37:29;-18.900087357;-49.482101440;5.0
7032;1900-01-01 01:38:47;-18.900993347;-49.482317607;5.0
7032;1900-01-01 01:39:40;-18.901460648;-49.482412974;0.0
7032;1900-01-01 01:40:30;-18.901479721;-49.482412974;2.2
7032;1900-01-01 01:40:55;-18.901355743;-49.482400258;0.0
7032;1900-01-01 01:41:03;-18.901346207;-49.482400258;1.4
7032;1900-01-01 01:41:14;-18.901339849;-49.482400258;0.0
7032;1900-01-01 01:41:16;-18.901339849;-49.482400258;1.1
