Equipamento;Hora;Latitude;Longitude
7041;1900-01-01 00:00:23;-19.653473536;-50.409336090
7041;1900-01-01 00:01:23;-19.653479894;-50.409323374
7041;1900-01-01 00:02:23;-19.653486252;-50.409336090
7041;1900-01-01 00:03:23;-19.653495789;-50.409361521
7041;1900-01-01 00:04:23;-19.653521220;-50.409367879
7041;1900-01-01 00:05:23;-19.653502146;-50.409342448
7041;1900-01-01 00:06:23;-19.653511683;-50.409336090
7041;1900-01-01 00:07:23;-19.653508504;-50.409310659
7041;1900-01-01 00:08:23;-19.653486252;-50.409310659
7041;1900-01-01 00:09:23;-19.653479894;-50.409304301
7041;1900-01-01 00:10:23;-19.653492610;-50.409310659
7041;1900-01-01 00:11:23;-19.653502146;-50.409323374
7041;1900-01-01 00:12:23;-19.653492610;-50.409304301
7041;1900-01-01 00:13:23;-19.653502146;-50.409304301
7041;1900-01-01 00:14:23;-19.653486252;-50.409304301
7041;1900-01-01 00:15:23;-19.653486252;-50.409304301
7041;1900-01-01 00:16:23;-19.653495789;-50.409291585
7041;1900-01-01 00:17:23;-19.653492610;-50.409310659
7041;1900-01-01 00:18:23;-19.653495789;-50.409310659
7041;1900-01-01 00:19:23;-19.653502146;-50.409310659
7041;1900-01-01 00:20:23;-19.653508504;-50.409291585
7041;1900-01-01 00:21:23;-19.653502146;-50.409304301
7041;1900-01-01 00:22:23;-19.653505325;-50.409304301
7041;1900-01-01 00:23:23;-19.653505325;-50.409285227
7041;1900-01-01 00:24:23;-19.653492610;-50.409317017
7041;1900-01-01 00:26:23;-19.653492610;-50.409342448
7041;1900-01-01 00:27:23;-19.653502146;-50.409317017
7041;1900-01-01 00:28:23;-19.653508504;-50.409310659
7041;1900-01-01 00:29:23;-19.653492610;-50.409361521
7041;1900-01-01 00:30:23;-19.653473536;-50.409304301
7041;1900-01-01 00:31:23;-19.653495789;-50.409285227
7041;1900-01-01 00:32:23;-19.653479894;-50.409291585
7041;1900-01-01 00:33:23;-19.653467178;-50.409348806
7041;1900-01-01 00:34:23;-19.653470357;-50.409342448
7041;1900-01-01 00:35:23;-19.653463999;-50.409342448
7041;1900-01-01 00:36:23;-19.653470357;-50.409380595
7041;1900-01-01 00:37:23;-19.653460821;-50.409367879
7041;1900-01-01 00:38:23;-19.653463999;-50.409348806
7041;1900-01-01 00:39:23;-19.653486252;-50.409323374
7041;1900-01-01 00:40:23;-19.653489431;-50.409342448
7041;1900-01-01 00:41:23;-19.653479894;-50.409342448
7041;1900-01-01 00:42:23;-19.653476715;-50.409342448
7041;1900-01-01 00:43:23;-19.653476715;-50.409367879
7041;1900-01-01 00:44:23;-19.653470357;-50.409380595
7041;1900-01-01 00:45:23;-19.653470357;-50.409374237
7041;1900-01-01 00:46:23;-19.653479894;-50.409361521
7041;1900-01-01 00:47:23;-19.653476715;-50.409361521
7041;1900-01-01 00:48:23;-19.653479894;-50.409361521
7041;1900-01-01 00:50:23;-19.653495789;-50.409323374
7041;1900-01-01 00:51:23;-19.653505325;-50.409310659
7041;1900-01-01 00:52:23;-19.653505325;-50.409317017
7041;1900-01-01 00:53:23;-19.653492610;-50.409323374
7041;1900-01-01 00:54:23;-19.653495789;-50.409336090
7041;1900-01-01 00:55:23;-19.653495789;-50.409317017
7041;1900-01-01 00:56:23;-19.653476715;-50.409342448
7041;1900-01-01 00:57:23;-19.653473536;-50.409348806
7041;1900-01-01 00:58:23;-19.653473536;-50.409336090
7041;1900-01-01 00:59:23;-19.653489431;-50.409336090
7041;1900-01-01 01:00:23;-19.653479894;-50.409323374
7041;1900-01-01 01:01:23;-19.653479894;-50.409336090
7041;1900-01-01 01:02:23;-19.653470357;-50.409342448
7041;1900-01-01 01:03:23;-19.653479894;-50.409348806
7041;1900-01-01 01:04:23;-19.653473536;-50.409342448
7041;1900-01-01 01:05:23;-19.653479894;-50.409342448
7041;1900-01-01 01:06:23;-19.653479894;-50.409336090
7041;1900-01-01 01:07:23;-19.653479894;-50.409336090
7041;1900-01-01 01:08:23;-19.653476715;-50.409342448
7041;1900-01-01 01:09:23;-19.653470357;-50.409336090
7041;1900-01-01 01:10:23;-19.653467178;-50.409342448
7041;1900-01-01 01:11:23;-19.653460821;-50.409317017
7041;1900-01-01 01:12:23;-19.653463999;-50.409342448
7041;1900-01-01 01:13:23;-19.653463999;-50.409361521
7041;1900-01-01 01:14:23;-19.653473536;-50.409361521
7041;1900-01-01 01:15:23;-19.653486252;-50.409348806
7041;1900-01-01 01:16:23;-19.653473536;-50.409342448
7041;1900-01-01 01:17:23;-19.653470357;-50.409336090
7041;1900-01-01 01:18:23;-19.653451284;-50.409342448
7041;1900-01-01 01:19:23;-19.653441747;-50.409348806
7041;1900-01-01 01:20:23;-19.653435389;-50.409374237
7041;1900-01-01 01:21:23;-19.653441747;-50.409361521
7041;1900-01-01 01:22:23;-19.653444926;-50.409348806
7041;1900-01-01 01:23:23;-19.653435389;-50.409367879
7041;1900-01-01 01:24:23;-19.653438568;-50.409367879
7041;1900-01-01 01:25:23;-19.653451284;-50.409361521
7041;1900-01-01 01:26:23;-19.653463999;-50.409342448
7041;1900-01-01 01:27:23;-19.653454463;-50.409336090
7041;1900-01-01 01:28:23;-19.653457642;-50.409342448
7041;1900-01-01 01:29:23;-19.653476715;-50.409361521
7041;1900-01-01 01:30:23;-19.653476715;-50.409361521
7041;1900-01-01 01:31:23;-19.653451284;-50.409361521
7041;1900-01-01 01:32:23;-19.653444926;-50.409361521
