Equipamento;Hora;Latitude;Longitude;Velocidade;RTK
7029;1900-01-01 00:00:17;-18.825010935;-49.385373433;6.5;Não
7029;1900-01-01 00:00:22;-18.825080872;-49.385430654;6.6;Não
7029;1900-01-01 00:00:25;-18.825119019;-49.385462443;6.3;Não
7029;1900-01-01 00:01:20;-18.825764338;-49.386130015;6.7;Não
7029;1900-01-01 00:01:51;-18.826025009;-49.386352539;1.6;Não
7029;1900-01-01 00:02:29;-18.825802485;-49.386168162;6.9;Não
7029;1900-01-01 00:02:51;-18.825678507;-49.386021932;2.3;Não
7029;1900-01-01 00:03:09;-18.825560888;-49.385862986;6.9;Não
7029;1900-01-01 00:04:06;-18.824886958;-49.385239919;6.5;Não
7029;1900-01-01 00:04:09;-18.824845632;-49.385214488;6.7;Não
7029;1900-01-01 00:04:17;-18.824740728;-49.385138194;5.7;Não
7029;1900-01-01 00:05:15;-18.823993683;-49.384597778;4.8;Não
7029;1900-01-01 00:05:37;-18.823911031;-49.384413401;4.0;Não
7029;1900-01-01 00:06:07;-18.823907852;-49.384114583;6.7;Não
7029;1900-01-01 00:07:12;-18.823926926;-49.384133657;5.5;Não
7029;1900-01-01 00:07:21;-18.823904673;-49.384267171;6.5;Não
7029;1900-01-01 00:07:38;-18.823901494;-49.384375254;0.0;Não
7029;1900-01-01 00:08:04;-18.823914210;-49.384445190;4.0;Não
7029;1900-01-01 00:09:10;-18.824584961;-49.385055542;6.7;Não
7029;1900-01-01 00:10:14;-18.825344721;-49.385615031;6.2;Não
7029;1900-01-01 00:11:04;-18.825843811;-49.386168162;5.7;Não
7029;1900-01-01 00:11:06;-18.825859706;-49.386187236;5.2;Não
7029;1900-01-01 00:11:17;-18.825961431;-49.386333466;6.3;Não
7029;1900-01-01 00:11:46;-18.826018651;-49.386180878;6.8;Não
7029;1900-01-01 00:12:12;-18.825869242;-49.385996501;0.0;Não
7029;1900-01-01 00:12:44;-18.825827916;-49.385971069;3.8;Não
7029;1900-01-01 00:13:51;-18.825204849;-49.385284424;5.8;Não
7029;1900-01-01 00:14:58;-18.824445089;-49.384763082;4.7;Não
7029;1900-01-01 00:15:23;-18.824200312;-49.384597778;4.8;Não
7029;1900-01-01 00:17:00;-18.823914210;-49.384292603;2.1;Não
7029;1900-01-01 00:17:14;-18.823930105;-49.384400686;2.6;Não
7029;1900-01-01 00:17:44;-18.824095408;-49.384693146;5.1;Não
7029;1900-01-01 00:17:52;-18.824178060;-49.384756724;5.1;Não
7029;1900-01-01 00:18:03;-18.824308395;-49.384845734;5.2;Não
7029;1900-01-01 00:18:33;-18.824677149;-49.385080973;6.0;Não
7029;1900-01-01 00:18:36;-18.824718475;-49.385112762;6.1;Não
7029;1900-01-01 00:19:00;-18.825010935;-49.385328929;5.4;Não
7029;1900-01-01 00:19:01;-18.825020472;-49.385335286;5.8;Não
7029;1900-01-01 00:19:31;-18.825379690;-49.385595957;6.7;Não
7029;1900-01-01 00:19:32;-18.825389226;-49.385615031;6.3;Não
7029;1900-01-01 00:19:46;-18.825538635;-49.385773977;6.1;Não
