Equipamento;Hora;Latitude;Longitude;Velocidade
7032;1900-01-01 00:00:15;-18.882558823;-49.480047862;0.0
7032;1900-01-01 00:05:15;-18.882536570;-49.480035146;0.0
7032;1900-01-01 00:10:15;-18.882530212;-49.480003357;0.0
7032;1900-01-01 00:15:15;-18.882555644;-49.479990641;0.0
7032;1900-01-01 00:20:15;-18.882565180;-49.480016073;0.0
7032;1900-01-01 00:25:15;-18.882596970;-49.480028788;0.0
7032;1900-01-01 00:30:15;-18.882542928;-49.480022430;0.0
7032;1900-01-01 00:35:15;-18.882527033;-49.480022430;0.0
7032;1900-01-01 00:40:15;-18.882558823;-49.479990641;0.0
7032;1900-01-01 00:45:15;-18.882546107;-49.479965210;0.0
7032;1900-01-01 00:50:15;-18.882555644;-49.479977926;0.0
7032;1900-01-01 00:55:15;-18.882533391;-49.480022430;0.0
7032;1900-01-01 01:00:15;-18.882517497;-49.480054220;0.0
7032;1900-01-01 01:05:15;-18.882542928;-49.480066935;0.0
7032;1900-01-01 01:10:15;-18.882577896;-49.480028788;0.0
7032;1900-01-01 01:15:15;-18.882527033;-49.480028788;0.0
7032;1900-01-01 01:20:15;-18.882520676;-49.479996999;0.0
7032;1900-01-01 01:25:15;-18.882511139;-49.479996999;0.0
7032;1900-01-01 01:30:15;-18.882511139;-49.479971568;0.0
7032;1900-01-01 01:35:15;-18.882536570;-49.479996999;0.0
7032;1900-01-01 01:40:15;-18.882555644;-49.479996999;0.0
7032;1900-01-01 01:45:15;-18.882536570;-49.480016073;0.0
7032;1900-01-01 01:50:15;-18.882520676;-49.480003357;0.0
7032;1900-01-01 01:55:15;-18.882546107;-49.479990641;0.0
7032;1900-01-01 02:00:15;-18.882530212;-49.480003357;0.0
7032;1900-01-01 02:05:15;-18.882530212;-49.480016073;0.0
7032;1900-01-01 02:10:15;-18.882533391;-49.480028788;0.0
7032;1900-01-01 02:15:15;-18.882536570;-49.480022430;0.0
7032;1900-01-01 02:20:15;-18.882552465;-49.479990641;0.0
7032;1900-01-01 02:25:15;-18.882562002;-49.479977926;0.0
7032;1900-01-01 02:29:35;-18.882349014;-49.480022430;2.9
7032;1900-01-01 02:30:18;-18.882244110;-49.479857127;0.0
7032;1900-01-01 02:30:31;-18.882237752;-49.479863485;0.0
7032;1900-01-01 02:31:08;-18.882260005;-49.479850769;1.7
7032;1900-01-01 02:31:19;-18.882260005;-49.479850769;0.0
7032;1900-01-01 02:31:20;-18.882260005;-49.479850769;0.0
7032;1900-01-01 02:31:39;-18.882263184;-49.479857127;0.0
7032;1900-01-01 02:34:57;-18.882266363;-49.479831696;0.0
7032;1900-01-01 02:35:01;-18.882288615;-49.479818980;2.6
7032;1900-01-01 02:36:49;-18.882965724;-49.479151408;4.2
7032;1900-01-01 02:38:22;-18.883646011;-49.478515625;3.8
7032;1900-01-01 02:39:54;-18.884310404;-49.477879842;4.4
7032;1900-01-01 02:41:24;-18.884764989;-49.477460225;3.5
7032;1900-01-01 02:41:25;-18.884771347;-49.477447510;3.4
7032;1900-01-01 02:41:38;-18.884908040;-49.477504730;6.0
7032;1900-01-01 02:41:56;-18.884933472;-49.477625529;1.3
7032;1900-01-01 02:42:11;-18.884939830;-49.477619171;1.7
7032;1900-01-01 02:42:16;-18.884933472;-49.477638245;1.8
7032;1900-01-01 02:43:56;-18.884243647;-49.478312174;4.2
7032;1900-01-01 02:45:27;-18.883550644;-49.478960673;4.1
7032;1900-01-01 02:46:56;-18.882870356;-49.479621887;4.1
7032;1900-01-01 02:48:06;-18.882412593;-49.480047862;4.1
7032;1900-01-01 02:48:07;-18.882422129;-49.480035146;4.0
7032;1900-01-01 02:48:10;-18.882441203;-49.480022430;2.5
7032;1900-01-01 02:49:44;-18.882253647;-49.479876200;2.3
7032;1900-01-01 02:51:27;-18.882949829;-49.479208628;3.9
7032;1900-01-01 02:52:54;-18.883642832;-49.478509267;4.3
7032;1900-01-01 02:54:18;-18.884316762;-49.477873484;4.6
7032;1900-01-01 02:55:21;-18.884749095;-49.477460225;0.0
7032;1900-01-01 02:56:22;-18.884901683;-49.477619171;4.1
7032;1900-01-01 02:57:52;-18.884250005;-49.478280385;4.0
7032;1900-01-01 02:58:21;-18.884122849;-49.478407542;4.1
7032;1900-01-01 02:58:43;-18.884157817;-49.478375753;0.0
7032;1900-01-01 02:59:05;-18.884167353;-49.478350321;0.0
7032;1900-01-01 03:04:05;-18.884167353;-49.478369395;0.0
7032;1900-01-01 03:09:05;-18.884183248;-49.478350321;0.0
7032;1900-01-01 03:10:10;-18.883868535;-49.478661855;3.4
7032;1900-01-01 03:10:13;-18.883849462;-49.478680929;3.6
7032;1900-01-01 03:10:28;-18.883741379;-49.478769938;4.0
7032;1900-01-01 03:13:43;-18.882444382;-49.480028788;0.0
7032;1900-01-01 03:13:50;-18.882438024;-49.480035146;1.6
7032;1900-01-01 03:14:22;-18.882237752;-49.479914347;2.4
7032;1900-01-01 03:14:30;-18.882269541;-49.479876200;2.9
7032;1900-01-01 03:16:05;-18.882937113;-49.479221344;3.9
7032;1900-01-01 03:17:36;-18.883623759;-49.478553772;4.2
7032;1900-01-01 03:19:10;-18.884294510;-49.477911631;4.2
7032;1900-01-01 03:20:21;-18.884752274;-49.477472941;2.8
7032;1900-01-01 03:21:13;-18.884904861;-49.477619171;3.5
7032;1900-01-01 03:22:56;-18.884250005;-49.478261312;4.1
7032;1900-01-01 03:24:21;-18.883725484;-49.478750865;0.0
7032;1900-01-01 03:24:22;-18.883725484;-49.478750865;0.0
7032;1900-01-01 03:24:37;-18.883728663;-49.478757222;0.0
7032;1900-01-01 03:29:37;-18.883719126;-49.478769938;0.0
7032;1900-01-01 03:34:37;-18.883725484;-49.478776296;0.0
7032;1900-01-01 03:35:33;-18.883649190;-49.478839874;2.8
7032;1900-01-01 03:37:11;-18.882987976;-49.479475657;3.9
