Equipamento;Hora;Latitude;Longitude
7029;1900-01-01 00:00:17;-18.825010935;-49.385373433
7029;1900-01-01 00:00:22;-18.825080872;-49.385430654
7029;1900-01-01 00:00:25;-18.825119019;-49.385462443
7029;1900-01-01 00:01:20;-18.825764338;-49.386130015
7029;1900-01-01 00:01:51;-18.826025009;-49.386352539
7029;1900-01-01 00:02:29;-18.825802485;-49.386168162
7029;1900-01-01 00:02:51;-18.825678507;-49.386021932
7029;1900-01-01 00:03:09;-18.825560888;-49.385862986
7029;1900-01-01 00:04:06;-18.824886958;-49.385239919
7029;1900-01-01 00:04:09;-18.824845632;-49.385214488
7029;1900-01-01 00:04:17;-18.824740728;-49.385138194
7029;1900-01-01 00:05:15;-18.823993683;-49.384597778
7029;1900-01-01 00:05:37;-18.823911031;-49.384413401
7029;1900-01-01 00:06:07;-18.823907852;-49.384114583
7029;1900-01-01 00:07:12;-18.823926926;-49.384133657
7029;1900-01-01 00:07:21;-18.823904673;-49.384267171
7029;1900-01-01 00:07:38;-18.823901494;-49.384375254
7029;1900-01-01 00:08:04;-18.823914210;-49.384445190
7029;1900-01-01 00:09:10;-18.824584961;-49.385055542
7029;1900-01-01 00:10:14;-18.825344721;-49.385615031
7029;1900-01-01 00:11:04;-18.825843811;-49.386168162
7029;1900-01-01 00:11:06;-18.825859706;-49.386187236
7029;1900-01-01 00:11:17;-18.825961431;-49.386333466
7029;1900-01-01 00:11:46;-18.826018651;-49.386180878
7029;1900-01-01 00:12:12;-18.825869242;-49.385996501
7029;1900-01-01 00:12:44;-18.825827916;-49.385971069
7029;1900-01-01 00:13:51;-18.825204849;-49.385284424
7029;1900-01-01 00:14:58;-18.824445089;-49.384763082
7029;1900-01-01 00:15:23;-18.824200312;-49.384597778
7029;1900-01-01 00:17:00;-18.823914210;-49.384292603
7029;1900-01-01 00:17:14;-18.823930105;-49.384400686
7029;1900-01-01 00:17:44;-18.824095408;-49.384693146
7029;1900-01-01 00:17:52;-18.824178060;-49.384756724
7029;1900-01-01 00:18:03;-18.824308395;-49.384845734
7029;1900-01-01 00:18:33;-18.824677149;-49.385080973
7029;1900-01-01 00:18:36;-18.824718475;-49.385112762
7029;1900-01-01 00:19:00;-18.825010935;-49.385328929
7029;1900-01-01 00:19:01;-18.825020472;-49.385335286
7029;1900-01-01 00:19:31;-18.825379690;-49.385595957
7029;1900-01-01 00:19:32;-18.825389226;-49.385615031
7029;1900-01-01 00:19:46;-18.825538635;-49.385773977
7029;1900-01-01 00:19:52;-18.825602214;-49.385850271
7029;1900-01-01 00:20:03;-18.825672150;-49.385920207
7029;1900-01-01 00:20:33;-18.825948715;-49.386276245
7029;1900-01-01 00:21:05;-18.826018651;-49.386199951
7029;1900-01-01 00:21:27;-18.825869242;-49.386028290
7029;1900-01-01 00:21:45;-18.825770696;-49.385894775
7029;1900-01-01 00:22:43;-18.825115840;-49.385239919
7029;1900-01-01 00:23:34;-18.824441910;-49.384763082
7029;1900-01-01 00:23:37;-18.824394226;-49.384744008
7029;1900-01-01 00:24:11;-18.824012756;-49.384407043
7029;1900-01-01 00:25:17;-18.823936462;-49.384298960
7029;1900-01-01 00:25:39;-18.823984146;-49.384496053
7029;1900-01-01 00:25:44;-18.824000041;-49.384540558
7029;1900-01-01 00:26:04;-18.824143092;-49.384699504
7029;1900-01-01 00:26:08;-18.824181239;-49.384744008
7029;1900-01-01 00:27:06;-18.824937820;-49.385252635
7029;1900-01-01 00:27:27;-18.825217565;-49.385475159
7029;1900-01-01 00:27:30;-18.825255712;-49.385506948
