Equipamento;Hora;Latitude;Longitude
7032;1900-01-01 13:18:11;-18.903803507;-49.476926168
7032;1900-01-01 13:18:24;-18.903787613;-49.476913452
7032;1900-01-01 13:19:05;-18.903469721;-49.476557414
7032;1900-01-01 13:21:00;-18.903434753;-49.476531982
7032;1900-01-01 13:22:28;-18.902818044;-49.475845337
7032;1900-01-01 13:23:58;-18.902185440;-49.475165049
7032;1900-01-01 13:25:16;-18.901743571;-49.474707286
7032;1900-01-01 13:25:59;-18.901689529;-49.474650065
7032;1900-01-01 13:26:00;-18.901689529;-49.474650065
7032;1900-01-01 13:27:12;-18.901219050;-49.474236806
7032;1900-01-01 13:27:42;-18.901095072;-49.474185944
7032;1900-01-01 13:28:20;-18.901250839;-49.474281311
7032;1900-01-01 13:29:53;-18.901943843;-49.474891663
7032;1900-01-01 13:31:12;-18.902589162;-49.475578308
7032;1900-01-01 13:32:30;-18.903228124;-49.476258596
7032;1900-01-01 13:33:50;-18.903838476;-49.476983388
7032;1900-01-01 13:34:47;-18.904080073;-49.477422078
7032;1900-01-01 13:34:52;-18.904089610;-49.477441152
7032;1900-01-01 13:36:02;-18.904426575;-49.478305817
7032;1900-01-01 13:38:24;-18.904814402;-49.480206807
7032;1900-01-01 13:39:28;-18.904919306;-49.481141408
7032;1900-01-01 13:40:33;-18.905094147;-49.482069651
7032;1900-01-01 13:41:39;-18.905335744;-49.482991536
7032;1900-01-01 13:42:45;-18.905440648;-49.483932495
7032;1900-01-01 13:44:55;-18.904610952;-49.485572815
7032;1900-01-01 13:45:21;-18.904455185;-49.485712687
7032;1900-01-01 13:45:49;-18.904397964;-49.485750834
7032;1900-01-01 13:47:03;-18.903619130;-49.486278534
7032;1900-01-01 13:47:25;-18.903412501;-49.486329397
7032;1900-01-01 13:48:22;-18.903383891;-49.486068726
7032;1900-01-01 13:48:29;-18.903409322;-49.486049652
7032;1900-01-01 13:49:40;-18.904165904;-49.485541026
7032;1900-01-01 13:50:47;-18.904801687;-49.484860738
7032;1900-01-01 13:51:50;-18.905113220;-49.483977000
7032;1900-01-01 13:52:55;-18.905008316;-49.483042399
7032;1900-01-01 13:54:03;-18.904769897;-49.482126872
7032;1900-01-01 13:55:12;-18.904610952;-49.481160482
7032;1900-01-01 13:56:20;-18.904480616;-49.480194092
7032;1900-01-01 13:57:27;-18.904328028;-49.479246775
7032;1900-01-01 13:58:33;-18.904092789;-49.478318532
7032;1900-01-01 13:59:44;-18.903724035;-49.477434794
7032;1900-01-01 13:59:58;-18.903701782;-49.477383931
7032;1900-01-01 14:00:08;-18.903689067;-49.477358500
7032;1900-01-01 14:01:15;-18.903113683;-49.476627350
7032;1900-01-01 14:02:24;-18.902484258;-49.475927989
7032;1900-01-01 14:03:31;-18.901835759;-49.475234985
7032;1900-01-01 14:04:38;-18.901145935;-49.474599202
7032;1900-01-01 14:05:18;-18.900853475;-49.474357605
7032;1900-01-01 14:06:49;-18.900818507;-49.474319458
7032;1900-01-01 14:11:49;-18.900837580;-49.474300385
7032;1900-01-01 14:12:02;-18.900913874;-49.474243164
7032;1900-01-01 14:12:03;-18.900920232;-49.474236806
7032;1900-01-01 14:12:43;-18.901234945;-49.474281311
7032;1900-01-01 14:13:00;-18.901260376;-49.474306742
7032;1900-01-01 14:13:04;-18.901266734;-49.474306742
7032;1900-01-01 14:14:41;-18.901959737;-49.474942525
7032;1900-01-01 14:16:04;-18.902605057;-49.475635529
7032;1900-01-01 14:17:32;-18.903221766;-49.476303101
7032;1900-01-01 14:17:35;-18.903231303;-49.476309458
7032;1900-01-01 14:18:54;-18.903838476;-49.477027893
7032;1900-01-01 14:20:10;-18.904264450;-49.477879842
7032;1900-01-01 14:21:20;-18.904477437;-49.478534698
7032;1900-01-01 14:21:43;-18.904483795;-49.478509267
7032;1900-01-01 14:21:53;-18.904486974;-49.478496552
7032;1900-01-01 14:26:53;-18.904480616;-49.478509267
7032;1900-01-01 14:31:53;-18.904467901;-49.478521983
7032;1900-01-01 14:33:09;-18.904486974;-49.478566488
7032;1900-01-01 14:38:09;-18.904477437;-49.478566488
7032;1900-01-01 14:38:42;-18.904477437;-49.478426615
7032;1900-01-01 14:43:42;-18.904499690;-49.478401184
7032;1900-01-01 14:48:42;-18.904506048;-49.478426615
7032;1900-01-01 14:53:42;-18.904499690;-49.478432973
7032;1900-01-01 14:58:42;-18.904467901;-49.478394826
7032;1900-01-01 15:03:42;-18.904486974;-49.478420258
7032;1900-01-01 15:08:42;-18.904467901;-49.478426615
7032;1900-01-01 15:13:42;-18.904486974;-49.478432973
7032;1900-01-01 15:18:42;-18.904490153;-49.478401184
7032;1900-01-01 15:23:42;-18.904486974;-49.478420258
7032;1900-01-01 15:28:42;-18.904486974;-49.478426615
7032;1900-01-01 15:33:42;-18.904496511;-49.478432973
7032;1900-01-01 15:38:42;-18.904493332;-49.478439331
7032;1900-01-01 15:43:42;-18.904480616;-49.478407542
7032;1900-01-01 15:48:42;-18.904486974;-49.478407542
7032;1900-01-01 15:52:30;-18.904493332;-49.478426615
7032;1900-01-01 15:53:12;-18.904506048;-49.478490194
7032;1900-01-01 15:53:13;-18.904506048;-49.478496552
7032;1900-01-01 15:54:49;-18.904219945;-49.478604635
7032;1900-01-01 15:54:56;-18.904213587;-49.478591919
7032;1900-01-01 15:55:10;-18.904197693;-49.478541056
7032;1900-01-01 15:56:29;-18.903876623;-49.477638245
7032;1900-01-01 15:57:44;-18.903352102;-49.476837158
7032;1900-01-01 15:59:01;-18.902713140;-49.476150513
7032;1900-01-01 15:59:43;-18.902452469;-49.475851695
7032;1900-01-01 16:00:00;-18.902436574;-49.475838979
7032;1900-01-01 16:01:13;-18.901791255;-49.475165049
7032;1900-01-01 16:02:23;-18.901107788;-49.474522909
7032;1900-01-01 16:02:56;-18.900859833;-49.474325816
7032;1900-01-01 16:04:35;-18.901222229;-49.474262238
7032;1900-01-01 16:06:01;-18.901905696;-49.474878947
7032;1900-01-01 16:07:30;-18.902582804;-49.475578308
7032;1900-01-01 16:08:53;-18.903221766;-49.476271311
7032;1900-01-01 16:09:23;-18.903415680;-49.476500193
7032;1900-01-01 16:10:41;-18.903460185;-49.476544698
7032;1900-01-01 16:12:00;-18.904006958;-49.477301280
7032;1900-01-01 16:13:12;-18.904359818;-49.478191376
7032;1900-01-01 16:14:30;-18.904626846;-49.479087830
7032;1900-01-01 16:15:06;-18.904655457;-49.479418437
7032;1900-01-01 16:15:50;-18.904630025;-49.479323069
7032;1900-01-01 16:16:26;-18.904661814;-49.479361216
7032;1900-01-01 16:21:26;-18.904680888;-49.479380290
7032;1900-01-01 16:22:08;-18.904661814;-49.479329427
7032;1900-01-01 16:23:03;-18.904677709;-49.479469299
7032;1900-01-01 16:23:05;-18.904680888;-49.479482015
7032;1900-01-01 16:23:07;-18.904680888;-49.479501088
7032;1900-01-01 16:23:37;-18.904709498;-49.479685465
7032;1900-01-01 16:24:28;-18.904725393;-49.479685465
7032;1900-01-01 16:25:59;-18.904836655;-49.480645498
7032;1900-01-01 16:27:20;-18.904960632;-49.481586456
7032;1900-01-01 16:28:40;-18.905179977;-49.482508341
7032;1900-01-01 16:30:03;-18.905392965;-49.483449300
7032;1900-01-01 16:31:22;-18.905323029;-49.484409332
7032;1900-01-01 16:32:37;-18.904877981;-49.485235850
7032;1900-01-01 16:33:57;-18.904169083;-49.485871633
7032;1900-01-01 16:35:20;-18.903441111;-49.486310323
7032;1900-01-01 16:36:37;-18.903374354;-49.486075083
7032;1900-01-01 16:38:01;-18.904143651;-49.485553741
7032;1900-01-01 16:38:47;-18.904464722;-49.485267639
7032;1900-01-01 16:39:31;-18.904378891;-49.485337575
7032;1900-01-01 16:39:46;-18.904378891;-49.485337575
7032;1900-01-01 16:44:46;-18.904397964;-49.485350291
7032;1900-01-01 16:49:46;-18.904375712;-49.485337575
7032;1900-01-01 16:54:46;-18.904375712;-49.485337575
7032;1900-01-01 16:59:46;-18.904397964;-49.485324860
7032;1900-01-01 17:04:46;-18.904385249;-49.485337575
7032;1900-01-01 17:09:46;-18.904394786;-49.485324860
7032;1900-01-01 17:10:21;-18.904442469;-49.485293070
7032;1900-01-01 17:15:21;-18.904432933;-49.485312144
7032;1900-01-01 17:20:21;-18.904436111;-49.485318502
7032;1900-01-01 17:25:21;-18.904458364;-49.485286713
7032;1900-01-01 17:30:21;-18.904452006;-49.485261281
7032;1900-01-01 17:35:21;-18.904452006;-49.485248566
7032;1900-01-01 17:40:21;-18.904452006;-49.485280355
7032;1900-01-01 17:45:21;-18.904455185;-49.485280355
7032;1900-01-01 17:50:21;-18.904442469;-49.485280355
7032;1900-01-01 17:55:21;-18.904442469;-49.485312144
7032;1900-01-01 18:00:21;-18.904426575;-49.485305786
7032;1900-01-01 18:05:21;-18.904429754;-49.485293070
7032;1900-01-01 18:10:21;-18.904452006;-49.485267639
7032;1900-01-01 18:15:21;-18.904477437;-49.485267639
7032;1900-01-01 18:20:21;-18.904413859;-49.485254924
7032;1900-01-01 18:25:21;-18.904413859;-49.485267639
7032;1900-01-01 18:30:21;-18.904436111;-49.485305786
7032;1900-01-01 18:35:21;-18.904442469;-49.485293070
7032;1900-01-01 18:40:21;-18.904429754;-49.485318502
7032;1900-01-01 18:45:21;-18.904452006;-49.485280355
7032;1900-01-01 18:50:21;-18.904426575;-49.485267639
