Equipamento;Data/Hora;Corporativo;Descricao Equipamento;Estado;Estado Operacional;Grupo Equipamento/Frente;Grupo Operacao;Horimetro;Latitude;Longitude;Motor Ligado;Operacao;Operador;Quantidade de Caixotes;Regional;RPM Motor;RTK (Piloto Automatico);Tipo de Equipamento;Trabalhando em Fila;Trabalhando Frente Dividida;Unidade;Velocidade;Centro de Custo;Fazenda;Zona;Talhao
2127;11/04/2025 00:00:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669670105;-50.406443278;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:01:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669670105;-50.406443278;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:02:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669657389;-50.406455994;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:03:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669641495;-50.406462351;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:04:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.66965421;-50.406475067;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:05:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.66965421;-50.406455994;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:06:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669647853;-50.406455994;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:08:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669635137;-50.406455994;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:09:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669635137;-50.406462351;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:10:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669612885;-50.406468709;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:11:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.6696256;-50.406468709;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:12:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669616063;-50.406487783;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:13:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669609706;-50.406500498;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:14:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669574738;-50.406519572;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;11/04/2025 00:15:25;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24073.05;-19.669574738;-50.406519572;0;8310 - SEM OPERADOR;612544 - JOSENIAS SOARES NUNES;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
